id,objectType,ownerId,updatedAt,createdAt,title,description,geometry,Attribution,Category,Color,ConnectedObjectType,ConnectedTo,ConnectedToExternalId,Deleted,ExternalId,FormerExternalId,IconCategory,Keyword,NewTrackedObject,NoAutoArchive,Reminder,SIMULATED,SessionId,Shape,otherTags
kzbVqke3CHYwdAB5e9nhqA,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:07:06.139686Z,2023-04-27T13:33:33.997300Z,Desk 3,,"{""type"":""Point""_COMMA_""coordinates"":[13.38637757763263_COMMA_52.50171160724889]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,JWQZKW48Y4,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
jvr95JW6MnnjR6HhfeAnRw,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:06:22.604951Z,2023-04-27T13:33:50.604067Z,Desk 1,,"{""type"":""Point""_COMMA_""coordinates"":[13.386336047274085_COMMA_52.501677520375864]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,B9XGVSERLK,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
b7nHb34SwJn3S5oXkEh0vQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T16:05:11.323814Z,2023-04-27T15:38:54.694795Z,Install the App,,"{""type"":""Point""_COMMA_""coordinates"":[13.386269142037804_COMMA_52.50167175988403]}",,,GreenAlt,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,InformationAlt,formation-hq-office-floor-0,,,,,,TriangleUp,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
Q8qBCGIXaLlM1yBZ-ZkYEg,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T15:00:05.146954Z,2023-04-27T15:00:05.146954Z,Fire Blanket,,"{""type"":""Point""_COMMA_""coordinates"":[13.386262329855754_COMMA_52.501805649612436]}",,,Red,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Fire,"safety,equipment",,,,,,TriangleUp,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
7RIge_8A68EVZTqcy3CHkg,POI,iftPko9uQHBZ7ZQq0iqt2w,2023-04-27T14:49:46.668732Z,2023-04-27T13:32:14.145603Z,Dishwasher,,"{""type"":""Point""_COMMA_""coordinates"":[13.386332098463868_COMMA_52.50181403221305]}",,,LightGrey,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Food,"office,kitchen,formation-hq-workspace-0,formation-hq-office-floor-0,equipment",,,,,,Circle,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:iftPko9uQHBZ7ZQq0iqt2w:Jacob Otto"
HzhTRSVN5LvelNU55M4DXQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T14:49:08.367815Z,2023-04-27T12:54:48.551183Z,Printer,,"{""type"":""Point""_COMMA_""coordinates"":[13.386338556904093_COMMA_52.501672437166064]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Printer,"formation-hq-office-floor-0,equipment",,,,,,Trapezoid,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
CVqwLFP7Xt0v2qAstoUlKA,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:57:48.246071Z,2023-04-27T13:36:26.278636Z,Flex Desk 12,,"{""type"":""Point""_COMMA_""coordinates"":[13.386264185641835_COMMA_52.50175251137793]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,JD0R3WQHXB,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
13MMV5KcdMb-trFNYYIXxQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:55:56.763915Z,2023-04-27T13:35:51.081870Z,Flex Desk 11,,"{""type"":""Point""_COMMA_""coordinates"":[13.38628961713357_COMMA_52.50175705629613]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,DWH1G5B965,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
llyg3aZm1HjQ6LCQCsVkcw,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:43:40.344625Z,2023-04-27T13:37:46.079067Z,Flex Desk 16,,"{""type"":""Point""_COMMA_""coordinates"":[13.386227088229134_COMMA_52.5016587724368]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
DoMgU8vx4mLwk7a1MPa2eQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:43:30.504683Z,2023-04-27T13:37:35.089775Z,Flex Desk 15,,"{""type"":""Point""_COMMA_""coordinates"":[13.38621938880101_COMMA_52.501674253582934]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
vOKUf2PYFDdUSMMHJDZC1g,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:43:15.500176Z,2023-04-27T13:37:09.880376Z,Flex Desk 14,,"{""type"":""Point""_COMMA_""coordinates"":[13.386189990930461_COMMA_52.501734757788284]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
AaTOeVfJ2nc4Jb-w4az7eQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-27T13:43:08.581765Z,2023-04-27T13:36:53.530415Z,Flex Desk 13,,"{""type"":""Point""_COMMA_""coordinates"":[13.386184391345637_COMMA_52.50174626210591]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
gubcK7pC7CJOGVUBzw_fbQ,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-27T13:16:43.478020Z,2022-10-06T12:33:31.889148215Z,Toilette,,"{""type"":""Point""_COMMA_""coordinates"":[6.745668106447283_COMMA_49.35800142956799]}",,,Grey,Floor,tcSN_NigqJjToMlt8-8h9w,,,,,Toilet,toilette,,,,,,Egg,"BuildingId:4q6gQ3Tvp4X8Sh3XgOv3pA,FloorId:tcSN_NigqJjToMlt8-8h9w,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
VEJFZavkofHOES_cjGD6wg,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T15:47:19.297053Z,2022-08-12T07:37:51.524131694Z,Mobile Sanitäranlage #3,,"{""type"":""Point""_COMMA_""coordinates"":[7.096304335829132_COMMA_50.5368497948852]}",,,Grey,,,,,,,Toilet,"sanitär,toilette",,,,,,Egg,"PollVote:d13bae0a-3448-4b25-94c5-59195c6b70c5|7uWsANxR2P6avQyqQ00pVw,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
cFyZdny80vuttESjc-6evA,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T14:21:09.116515Z,2022-08-12T07:29:29.561415397Z,Brücke eingestürzt,,"{""type"":""Point""_COMMA_""coordinates"":[7.091094856126119_COMMA_50.53864702071206]}",,,Red,,,,,,,Caution,,,,,,,TriangleUp,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
SrAUzrETBImBmx8rLTH80w,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:12:13.502921Z,2023-04-05T08:08:15.497712Z,Pioniere 7,,"{""type"":""Point""_COMMA_""coordinates"":[7.094552934085527_COMMA_50.53918434085864]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
9paJBUHP3AMTfT9ig5HvWg,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:11:48.924150Z,2023-04-05T08:08:03.785917Z,Pioniere 6,,"{""type"":""Point""_COMMA_""coordinates"":[7.095445000101108_COMMA_50.53913457693517]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
mbORwcY1OnCteY3ikQCNag,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:11:17.618205Z,2023-04-05T08:07:53.003908Z,Pioniere 5,,"{""type"":""Point""_COMMA_""coordinates"":[7.095906413543844_COMMA_50.539051044521955]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
cpiIlcxT4zm8vQ3fLKaZIw,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:10:43.422676Z,2023-04-05T08:07:42.963944Z,Pioniere 4,,"{""type"":""Point""_COMMA_""coordinates"":[7.095976324663297_COMMA_50.53886798361847]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
q-qqN5RJcP1s8GVGUaV9Yg,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:10:14.302710Z,2023-04-05T08:07:28.756405Z,Pioniere 3,,"{""type"":""Point""_COMMA_""coordinates"":[7.094387943731476_COMMA_50.53902260791074]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
QPVNlL4IbIH9roYUKUMWMA,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:09:46.071528Z,2023-04-05T08:06:52.966410Z,Pioniere 2,,"{""type"":""Point""_COMMA_""coordinates"":[7.094491996443935_COMMA_50.5391430449522]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
a4YN-UJnIXyV-g8jtLu0oQ,POI,7uWsANxR2P6avQyqQ00pVw,2023-04-05T08:09:01.944577Z,2023-04-05T08:06:38.069513Z,Pioniere 1,,"{""type"":""Point""_COMMA_""coordinates"":[7.094375234028917_COMMA_50.5393034953897]}",,,DarkBlue,,,,,,,Location,waypoint,,,,,,Circle,"ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
wWbb7smyjo0Gt0LLwrYNfw,POI,7uWsANxR2P6avQyqQ00pVw,2023-03-23T18:54:04.961990Z,2022-10-28T13:27:43.039106Z,Toilet,,"{""type"":""Point""_COMMA_""coordinates"":[-9.092548726924178_COMMA_38.76881209536424]}",,,LightBlueAlt,Floor,BzgWbQ58XifdSxrg0-385A,,,,,Toilet,"web summit,toilet,wc",,,,,,SquareWithPointer,"BuildingId:LGEY8PgaFVncQ_OrX4M9WQ,FloorId:BzgWbQ58XifdSxrg0-385A,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
